STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,inet_spd,Internet speed,terrtypo,Territorial typology,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:ISOC_CBS(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,AT,Austria,2019,,13.8,,,
dataflow,ESTAT:ISOC_CBS(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,AT,Austria,2020,,36.9,,,
dataflow,ESTAT:ISOC_CBS(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,AT,Austria,2021,,45.4,,,
dataflow,ESTAT:ISOC_CBS(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,AT,Austria,2022,,54.8,,,
dataflow,ESTAT:ISOC_CBS(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,BE,Belgium,2019,,49.2,,,
dataflow,ESTAT:ISOC_CBS(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,BE,Belgium,2020,,49.4,,,
dataflow,ESTAT:ISOC_CBS(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,BE,Belgium,2021,,69,,,
dataflow,ESTAT:ISOC_CBS(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,BE,Belgium,2022,,78.8,,,
dataflow,ESTAT:ISOC_CBS(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,BG,Bulgaria,2019,,6.5,,,
dataflow,ESTAT:ISOC_CBS(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,BG,Bulgaria,2020,,8.6,,,
dataflow,ESTAT:ISOC_CBS(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,BG,Bulgaria,2021,,16.3,,,
dataflow,ESTAT:ISOC_CBS(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,BG,Bulgaria,2022,,21.4,,,
