STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_is,Information society indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT11,Burgenland (AT),2011,,43.64,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT11,Burgenland (AT),2012,,49.30,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT11,Burgenland (AT),2013,,48.77,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT11,Burgenland (AT),2014,,53.66,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT11,Burgenland (AT),2016,,53.98,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT11,Burgenland (AT),2017,,61.73,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT11,Burgenland (AT),2018,,58.40,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT11,Burgenland (AT),2019,,54.44,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT11,Burgenland (AT),2020,,63.99,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT11,Burgenland (AT),2021,,58.46,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT11,Burgenland (AT),2022,,58.58,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT12,Niederösterreich,2011,,46.34,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT12,Niederösterreich,2012,,46.80,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT12,Niederösterreich,2013,,50.49,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT12,Niederösterreich,2014,,51.30,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT12,Niederösterreich,2016,,57.63,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT12,Niederösterreich,2017,,59.31,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT12,Niederösterreich,2018,,61.74,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT12,Niederösterreich,2019,,63.59,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT12,Niederösterreich,2020,,66.47,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT12,Niederösterreich,2021,,66.85,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT12,Niederösterreich,2022,,66.76,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT13,Wien,2011,,48.07,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT13,Wien,2012,,47.74,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT13,Wien,2013,,58.71,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT13,Wien,2014,,56.30,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT13,Wien,2016,,59.38,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT13,Wien,2017,,64.87,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT13,Wien,2018,,61.50,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT13,Wien,2019,,62.54,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT13,Wien,2020,,67.83,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT13,Wien,2021,,68.29,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT13,Wien,2022,,67.53,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT21,Kärnten,2011,,39.87,,,
dataflow,ESTAT:TGS00052(1.0),Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,A,Annual,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,AT21,Kärnten,2012,,46.48,,,
