STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT11,Burgenland (AT),2011,,70.46,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT11,Burgenland (AT),2012,,74.91,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT11,Burgenland (AT),2013,,79.29,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT11,Burgenland (AT),2014,,81.76,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT11,Burgenland (AT),2016,,82.54,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT11,Burgenland (AT),2017,,85.86,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT11,Burgenland (AT),2018,,89.85,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT11,Burgenland (AT),2019,,87.71,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT11,Burgenland (AT),2020,,87.19,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT11,Burgenland (AT),2021,,92.86,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT11,Burgenland (AT),2022,,90.47,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT12,Niederösterreich,2011,,77.05,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT12,Niederösterreich,2012,,78.99,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT12,Niederösterreich,2013,,75.64,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT12,Niederösterreich,2014,,77.77,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT12,Niederösterreich,2016,,82.53,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT12,Niederösterreich,2017,,88.86,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT12,Niederösterreich,2018,,85.99,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT12,Niederösterreich,2019,,91.69,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT12,Niederösterreich,2020,,91.65,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT12,Niederösterreich,2021,,94.74,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT12,Niederösterreich,2022,,91.25,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT13,Wien,2011,,76.84,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT13,Wien,2012,,84.31,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT13,Wien,2013,,83.49,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT13,Wien,2014,,84.47,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT13,Wien,2016,,88.45,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT13,Wien,2017,,89.36,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT13,Wien,2018,,90.95,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT13,Wien,2019,,91.83,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT13,Wien,2020,,92.95,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT13,Wien,2021,,96.15,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT13,Wien,2022,,96.31,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT21,Kärnten,2011,,71.78,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT21,Kärnten,2012,,77.19,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT21,Kärnten,2013,,76.50,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT21,Kärnten,2014,,74.90,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT21,Kärnten,2016,,83.75,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT21,Kärnten,2017,,85.50,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT21,Kärnten,2018,,85.21,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT21,Kärnten,2019,,87.30,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT21,Kärnten,2020,,87.37,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT21,Kärnten,2021,,92.24,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT21,Kärnten,2022,,91.25,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT22,Steiermark,2011,,71.35,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT22,Steiermark,2012,,78.06,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT22,Steiermark,2013,,81.56,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT22,Steiermark,2014,,80.14,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT22,Steiermark,2016,,82.45,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT22,Steiermark,2017,,90.33,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT22,Steiermark,2018,,87.99,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,AT22,Steiermark,2019,,85.55,,,
