"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","AUT","Austria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2003","2003",,,"0","Units",,,10,,
"1","Country","AUT","Austria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2004","2004",,,"0","Units",,,16,,
"1","Country","AUT","Austria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2005","2005",,,"0","Units",,,23,,
"1","Country","AUT","Austria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2006","2006",,,"0","Units",,,33.12,,
"1","Country","AUT","Austria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2007","2007",,,"0","Units",,,46.15,,
"1","Country","AUT","Austria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2008","2008",,,"0","Units",,,54.5,,
"1","Country","AUT","Austria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2009","2009",,,"0","Units",,,57.8,,
"1","Country","AUT","Austria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2010","2010",,,"0","Units",,,63.7,,
"1","Country","AUT","Austria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2011","2011",,,"0","Units",,,71.98,,
"1","Country","AUT","Austria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2012","2012",,,"0","Units",,,77.41,,
"1","Country","AUT","Austria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2013","2013",,,"0","Units",,,79.79,,
"2","Large regions (TL2)","AT11","Burgenland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2006","2006",,,"0","Units",,,28.72,,
"2","Large regions (TL2)","AT11","Burgenland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2008","2008",,,"0","Units",,,56.72,,
"2","Large regions (TL2)","AT11","Burgenland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2009","2009",,,"0","Units",,,54.65,,
"2","Large regions (TL2)","AT11","Burgenland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2010","2010",,,"0","Units",,,62.87,,
"2","Large regions (TL2)","AT11","Burgenland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2011","2011",,,"0","Units",,,67.31,,
"2","Large regions (TL2)","AT11","Burgenland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2012","2012",,,"0","Units",,,73.06,,
"2","Large regions (TL2)","AT11","Burgenland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2013","2013",,,"0","Units",,,78.42,,
"2","Large regions (TL2)","AT12","Lower Austria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2006","2006",,,"0","Units",,,31.53,,
"2","Large regions (TL2)","AT12","Lower Austria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2007","2007",,,"0","Units",,,46.25,,
